Seed,Closest,Furthest,Average
807075,1130.8501,32796.71,13843.023
1268105,1626.5273,32751.049,13834.601
5685104,1587.351,33282.51,13975.315
9505895,1253.3538,30343.664,13854.522
11416004,1240.4761,31466.945,13985.924
12208050,2041.0591,30860.893,13939.793
12700174,1818.2787,31265.621,13997.22
27815317,812.1649,34055.1,13997.282
29264775,1646.7285,32596.035,13992.578
29465867,1243.1482,33268.83,13724.449
31984953,1528.5483,33161.695,13922.404
32102145,1432.186,31054.174,13734.078
36926605,2111.1533,31666.021,13933.254
37621416,1368.5045,31559.086,13948.142
37772439,929.30566,30885.584,13836.453
39849791,1338.8757,29110.943,13501.347
40925919,850.70306,32014.393,13908.0205
42866898,1585.9165,30424.023,13942.238
45730218,1796.2815,31756.014,13927.849
47693983,1417.9075,31555.375,13880.919
53895497,938.3352,32159.098,13790.471
57813911,1603.2114,31632.055,13955.674
63263539,1492.4692,30055.316,13879.347
63327218,1016.59625,32211.277,13881.706
66091173,1544.9312,30197.541,13836.353
67349947,1737.7605,31393.459,13842.442
69577590,1532.4749,29593.441,13938.796
70018313,1462.6906,31046.486,13962.92
71208057,926.8927,32753,13861.098
71844029,1307.2802,30886.285,13763.687
72397196,1567.0063,34174.02,13881.377
75844795,1276.3823,30906.5,13768.43
80794119,1213.0221,30077.023,13973.226
82059403,1778.5809,33500.055,13968.035
83087213,1484.471,34247.633,13891.469
83625608,1465.2201,30659.66,13864.72
87021823,1217.1327,29520.885,13916.878
87105345,1080.6428,30998.086,13934.543
89766564,1281.9954,34814.24,13785.838
96683934,887.3611,33976.277,13995.788
99677420,1153.305,29309.809,13728.624
103032584,1487.721,32514.111,13990.259
105197338,1888.5358,30595.67,13881.8
105632343,1576.1772,30520.143,13934.969
110477099,1687.153,30917.223,13899.776
112336924,1123.108,30825.242,13850.125
114827133,1500.7966,30906.635,13999.151
118418626,1364.369,32348.611,13968.376
119673127,944.16406,29897.361,13891.721
122236160,1808.2748,32125.322,13941.208
123762032,1389.4309,30183.584,13858.025
125385821,1078.3507,28194.875,13930.048
126233515,1368.093,29813.219,13879.614
127300442,1385.4841,31491.889,13939.839
129121214,1573.7589,31406.51,13973.905
130185950,1373.0989,34178.297,13978.234
132994288,1341.6339,30981.33,13914.412
133232527,1434.4413,32129.648,13953.076
133966484,1230.296,32909.61,13990.334
135996260,1551.2622,30626.59,13924.446
137337552,1216.73,30634.639,13866.466
142265382,1269.5835,31725.43,13883.363
142708007,1613.9869,30345.014,13700.77
142751953,1397.5498,30095.951,13948.051
143865174,742.49915,32252.482,13537.902
144395878,1347.6924,32249.688,13951.223
144901162,843.0562,31594.705,13664.566
147043766,1183.3654,32130.723,13974.559
150164534,1854.1116,30394.459,13843.276
152101626,1487.0673,32237.027,13886.534
152581236,1669.4253,32291.29,13940.043
153633378,1547.6176,29851.71,13889.805
159615533,1135.5516,29714.41,13515.932
163659049,1619.4019,31346.242,13686.268
166258013,1384.5957,32471.32,13926.447
166478140,1093.5403,35150.277,13735.502
167563707,1499.7695,29237.18,13789.105
