Seed,Nearest A1,Furthest A1,Average A1,Nearest A2,Furthest A2,Average A2,Nearest A3,Furthest A3,Average A3,Nearest B1,Furthest B1,Average B1,Nearest B2,Furthest B2,Average B2,Nearest B3,Furthest B3,Average B3,Nearest C1,Furthest C1,Average C1,Nearest C2,Furthest C2,Average C2,Nearest C3,Furthest C3,Average C3,Overall Nearest,Overall Furthest,Overall Average
807075,836.9084,18886.322,7545.676,1207.7523,17277.426,8543.966,544.84625,44740.477,17887.42,1304.9719,19467.395,8465.176,1216.9216,43128.492,19110.809,1328.9396,65206.31,28249.48,1662.6107,17579.795,7161.213,1088.3287,26363.59,10615.196,986.3714,42520.574,17008.273,1130.85009765625,32796.70703125,13843.0234375
1268105,1468.4991,15989.416,8326.055,1186.4346,14815.919,7981.71,1272.7865,36211.066,17099.92,1575.1925,21098.248,10318.3545,3184.322,27945.756,13069.482,2486.3015,81899.09,30125.697,1162.6338,15875.547,7090.294,564.9411,21926.459,8729.056,2302.5764,56078.477,21463.617,1689.298583984375,32426.6640625,13800.46484375
5685104,1002.7051,16389.475,8180.3804,1097.1079,18424.71,8557.624,2319.7395,41619.56,20402.924,1321.5519,23799.902,10848.154,1590.8347,36331.523,16586.92,1990.9056,54371.34,24214.63,892.31244,17223.771,7013.8506,1320.8892,42257.152,13710.112,986.3714,49125.152,16385.424,1391.3797607421875,33282.5078125,13988.890625
9505895,1383.626,18070.873,9131.234,1288.9816,17016.969,8196.123,544.84625,27196.557,13066.248,835.0474,21555.986,10325.369,749.1073,49874.25,20500.746,3229.928,59291.61,27820.338,883.8408,14826.167,7808.446,334.128,15834.454,6039.2236,2030.6786,49426.105,21802.969,1253.353759765625,30343.6640625,13854.521484375
11416004,1003.83417,15747.977,8411.641,619.6495,16969.107,7293.073,2080.4082,38125.254,18004.137,761.35205,16602.652,8101.3726,1269.4421,38663.965,18050.809,1243.4435,54906.23,27064.95,1410.9667,19704.717,8045.4375,586.8859,43685.12,14406.575,2188.3027,38797.484,16433.316,1240.47607421875,31466.9453125,13979.0341796875
12208050,547.3311,16988.547,7010.4463,1237.2297,13335.064,6344.775,1167.325,36111.477,18303.705,1628.5734,19532.37,8722.517,5324.027,46951.402,19606.062,2450.8687,61792.188,26802.848,688.1423,16037.827,7042.551,1179.9863,19366.418,8114.3457,4146.047,47632.73,23392.178,2041.0589599609375,30860.890625,13926.603515625
12700174,921.4891,15886.993,7141.588,849.7856,17959.52,8465.378,2689.1074,36605.87,15374.575,1551.513,22568.342,10439.799,3462.0125,45074.12,21192.979,2445.8481,65710.76,29429.783,1394.6976,14924.323,5993.4834,564.9411,19584.148,8333.119,2485.1135,43076.54,19604.275,1818.2786865234375,31265.623046875,13997.2197265625
27815317,330.55215,17695.92,6906.1865,1159.1472,16706.738,7947.163,544.84625,30412.55,14524.642,777.9946,19610.074,8820.476,1302.4413,42639.01,17045.629,2358.938,60621.49,24856.305,654.4817,16654.125,7327.957,1349.9181,44491.67,16924.16,1123.5166,57664.336,21786.025,1066.87060546875,34055.1015625,14015.3935546875
29264775,1132.2645,17604.969,8326.85,1316.034,20172.914,8861.584,544.84625,39831.715,15562.49,1138.8625,19394.031,9137.94,2439.0352,45578.19,20289.191,3229.928,62257.65,25503.492,1287.1819,13940.229,7140.228,1526.0356,37039.76,11247.062,2206.369,37544.848,19864.367,1646.728515625,32596.033203125,13992.578125
29465867,751.2014,14262.743,6530.5933,1211.3318,16208.871,7682.5513,1272.7865,41702.098,20412.121,1575.1925,21978.744,9178.0205,1230.5092,43559.43,17690.725,2262.206,57963.992,27716.656,986.7734,13505.509,5703.744,586.8859,41007.09,12180.708,1311.4471,49230.97,16594.85,1243.148193359375,33268.828125,13743.330078125
