Seed,Closest,Furthest,Average
0,1286.0277,38889.152,16775.57
1,1234.9115,38733.32,16428.232
2,1613.2391,39742.043,17852.31
3,1792.9495,40237.723,18313.873
4,1245.771,36958.06,16795.979
5,1353.0936,34505.42,16328.442
6,1720.1495,37476.473,17539.176
7,1500.8969,35110.61,16408.346
8,1784.2036,39656.965,18028.666
9,1959.3619,36656.89,17646.35
10,1265.6588,38422.57,17182.998
11,1251.9872,38652.13,17679.967
12,1542.6106,39426.184,18000.633
13,1464.4457,37142.57,17379.16
14,2028.1306,38484.203,16507.373
15,1244.8075,39074.688,18396.123
16,1640.3755,39305.508,17758.174
17,1566.7935,35934.78,16981.13
18,2185.2202,39636.266,17079.543
19,1066.9312,35996.61,15685.297
20,1727.6398,37786.61,17999.406
21,1510.9393,38648.42,17836.71
22,1313.7338,40043.75,19243.57
23,1165.0625,37930.5,16611.13
24,1246.2876,37262.164,16183.739
25,1126.0454,37647.473,17283.156
26,1623.6298,37275.312,17310.549
27,1328.8716,38919.516,18110.633
28,2086.9604,38324.598,17659.314
29,1411.9846,36718.246,15970.09
30,1329.5287,39301.83,18930.867
31,1678.7444,38874.766,17027.246
32,1433.6913,39674.31,17784.297
33,1353.3015,38010.215,17471.408
34,1584.2341,40022.535,18356.994
35,1775.27,38495.6,17398.32
36,1058.2917,39339.78,17255.65
37,1277.4955,39953.312,17585.703
38,1744.7239,37273.773,16893.695
39,1524.5037,38450.5,17423.912
40,1590.3378,38717.684,18128.234
41,1417.0891,40248.41,17647.77
42,1794.0718,38511.95,18434.824
43,1491.2145,38443.59,17623.102
44,1367.5376,37480.96,16637.566
45,1306.7944,39377.24,18754.562
46,1982.6191,39603.54,18041.908
47,1604.0386,39021.49,17525.863
48,1837.4169,37683.61,17058.18
49,1509.8088,37361.723,17470.838
50,2176.5579,37118.625,17194.654
51,1411.0981,35596.176,16781.707
52,1313.2383,38266.418,18277.143
53,1803.7715,38535.027,17650.555
54,1714.5624,36764.812,16818.379
55,1505.6406,39555.594,17991.82
56,1672.1837,38310.785,17271.465
57,1528.8022,34493.316,16337.811
58,1555.4305,38705.047,17244.777
59,1279.463,40074.957,18030.04
60,2045.4037,38776.42,17055.287
61,1310.5143,34113.13,15493.87
62,1311.5995,38900.59,16776.979
63,1277.5365,38416.535,18604.586
64,1645.0369,40195.51,19030.055
65,1634.1091,38541.707,17945.523
66,1626.2762,36554.44,16666.398
67,1266.6753,40269.36,18451.166
68,1379.7319,36441.18,16718.922
69,1689.6788,38909.027,17826.686
70,899.2624,34696.695,16385.955
71,1545.3641,40938.9,18480.04
72,1368.3312,40278.676,17515.195
73,1639.3195,38781.508,17748.418
74,1668.0815,39612.33,18516.297
75,1698.8019,39303.676,17696.023
76,1649.0293,37584.766,17358.883
77,1834.1571,38735.3,17615.527
78,1332.2145,40134.938,17796.146
79,1527.0552,39418.75,17749.625
80,1772.7124,38207.39,17685.84
81,1353.022,36977.336,16579.209
82,1067.1646,38053.453,18356.096
83,1644.3687,40917.023,18442.28
84,1678.8489,36276.832,17190.547
85,1571.9681,37057.16,16359.026
86,1722.1056,38130.84,18469.303
87,1467.8887,34798.727,17232.406
88,1623.8743,38253.254,16893.496
89,1885.6046,41010.44,18696.566
90,1960.6152,34405.188,15928.535
91,1651.871,37486.195,17651.719
92,1820.5343,38244.81,16982.229
93,1912.979,34515.043,16578.992
94,2072.14,37183.652,16044.783
95,1974.9384,39404.61,17414.256
96,1462.897,38762.14,16406.885
97,1824.5024,38524.516,16975.021
98,1525.7183,38815.664,16970.533
99,1349.2778,38628.19,17786.336
100,1174.6653,40054.63,17981.385
101,1357.6289,37737.555,17586.223
102,1513.8741,39551.074,17471.688
103,1966.904,35981.125,16289.228
104,1337.1832,38472.895,17242.648
105,1984.3027,38486.066,17307.76
106,1598.7065,39188.83,17480.82
107,1495.2699,36713.918,17596.055
108,1564.0681,39404.453,16882.883
109,1537.0293,36073.504,16974.521
110,1610.9493,39255.99,17825.799
111,1655.9829,38972.562,16962.682
112,1511.2412,36804.83,16827.156
113,1862.4584,35780.54,16732.588
114,1983.5591,40184.67,18030.262
115,1431.2235,37622.89,17291.09
116,1587.598,37009.85,17119.559
117,1786.4993,36424.973,16783.184
118,1789.1665,37184.562,16605.846
119,1648.5404,39483.457,17147.096
120,1749.627,38542.492,17741.723
121,1321.6451,39572.73,18430.34
122,1384.8386,37995.895,18258.385
123,1701.3527,36723.58,16991.346
124,1279.9556,38142.168,17088.559
125,1833.3218,39249.977,17659.46
126,1811.6248,38635.066,17654.88
127,1984.632,36126.92,16872.97
128,1199.8687,38129.695,18081.633
129,1361.1128,37492.83,16603.95
130,1624.5894,35862.11,17576.72
131,1333.7827,39899.13,17055.14
132,1362.7231,38923.836,17875.143
133,1556.023,38204.867,17960.516
134,1631.6617,38361.113,17623.023
135,1300.1342,39954.215,18670.742
136,1163.047,37037.957,17822.508
137,1248.8383,37802.883,17703.148
138,1272.9991,37374.56,17376.764
139,1921.0391,40217.562,18166.166
140,1364.4587,33673.082,16255.719
141,1947.9731,40712.92,18545.402
142,2073.0022,38713.523,17423.008
143,1750.9327,36853.453,16483.898
144,1472.8042,36780.918,16857.46
145,1476.3812,37850.375,17172.787
146,1594.468,38937.504,17940.383
147,1473.1113,37750.727,17630.773
148,1782.9838,39262.766,17912.148
149,1568.9626,37918.355,16183.174
150,1215.38,37760.004,17889.959
151,1170.8325,38825.11,17461.148
152,1700.605,39166.02,18048.803
153,1395.7167,38118.844,17565.223
